no,displayUserNick,rateContent,rateDate,package,quality,price,service,logistics,other,sentiment
0,n***8,茶叶很香比普通的E包的好太多了。饮后唇齿留甘，也不会苦涩！很好。值得购买。很适合办公室冲泡！包装也不错。 有短信提醒。很好。,2015-4-10 19:54,1,1,0,0,0,0,0
1,吉***5,质量太差,2015-4-10 19:50,0,1,0,0,0,0,1
2,z***j,很好喝,2015-4-10 19:49,0,0,0,0,0,0,0
3,t***2,茶叶有点碎。。。,2015-4-10 19:32,0,1,0,0,0,0,1
4,y***7,东西很好，，快递也很快，，卖家服务也好。。,2015-4-10 19:32,0,1,0,1,1,0,0
5,h***i,购这款茶是冲&ldquo;全国劳模&rdquo;称号来的。茶叶色泽层次丰富。茶叶叶形较碎。叶根较多。包装漂亮。封口夹的颜色超正。茶的香气纯正。客服小雨很有耐心。 好,2015-4-10 19:30,1,1,0,1,0,0,0
6,y***i,"茶叶囗感不错,包装很好,给5分.",2015-4-10 19:09,1,1,0,0,0,0,0
7,6***z,茶叶很好，纯正，很浓郁，开袋子香味扑鼻，味道相对明前的生涩但是单独品味的时候觉得太好了满屋清香，真心好，唯一缺点是一级的茶叶不该折磨碎就好了，味道不错 质量好包装不错味道好气味不错服务好,2015-4-10 19:02,1,1,0,1,0,1,1
8,乐***呼,非常好,2015-4-10 18:52,0,0,0,0,0,0,0
9,c***6,老牌子，味道不错，确实是雨前的，香气比较重。,2015-4-10 18:34,0,1,0,0,0,1,0
10,键***优,我是卢正浩品牌的老茶客了，每年上龙井新茶必买，一如既往的好，价格也依旧是那么亲民，支持绿茶之王，支持卢正浩！,2015-4-10 18:34,0,0,1,0,0,1,0
11,o***0,好,2015-4-10 18:12,0,0,0,0,0,0,0
12,维***8,好评,2015-4-10 18:06,0,0,0,0,0,0,0
13,p***i,非常好,2015-4-10 17:35,0,0,0,0,0,0,0
14,a***t,铁盒与里面的塑封袋都很上档次，打开后闻闻干茶也够香，应该是才炒新茶，泡了一杯口感一般，梗多叶碎，与雨前头采一级特香名称不符。 服务满意,2015-4-10 16:36,0,1,0,1,0,0,1
15,c***5,满意。,2015-4-10 16:15,0,0,0,0,0,0,0
16,拾***景,质量不错。。。,2015-4-10 15:58,0,0,0,0,0,0,0
17,a***9,不错,2015-4-10 15:16,0,0,0,0,0,0,0
18,b***m,新茶，味道不错，泡开样子虽然不够好看啦，但是性价比还是很高的~,2015-4-10 14:35,0,1,1,0,0,0,0
19,太***峰,老客户了。,2015-4-10 14:33,0,0,0,0,0,0,0
20,风***7,茶梗比茶叶多，,2015-4-11 10:24,0,0,0,0,0,1,1
21,购***8,我是老茶客了&apos;你们家的茶叶一如既往的好！,2015-4-11 10:03,0,1,0,0,0,0,0
22,y***3,是今年的新茶，非常棒的茶叶，色泽鲜亮，口感纯正，泡后闻起来很香，很好喝。 解答很耐心很详细，服务很不错。,2015-4-11 9:47,0,1,0,1,0,0,0
23,神***申,非常好的茶叶，好评,2015-4-11 9:38,0,1,0,0,0,0,0
24,g***0,对于茶叶 我不懂。。。闻着很香，反正老公很满意，就说明买对了，包装也非常好 总体很满意,2015-4-11 9:23,1,1,0,0,0,0,0
25,冷***8,应该是明前龙井，快递很快！好评！,2015-4-11 9:05,0,0,0,0,1,1,0
26,j***3,形不好看，色泽，口感还好吧！,2015-4-11 8:55,0,1,0,0,0,0,1
27,莎***3,味道一般,2015-4-11 7:55,0,1,0,0,0,0,1
28,b***2,不错，色绿味香，好茶,2015-4-11 7:34,0,1,0,0,0,0,0
29,小***跑,好评，还送了一瓶虎跑泉泉水,2015-4-11 0:01,0,0,0,0,0,1,0
30,人***0,最起码茶是真茶。而且一罐子茶里面有不少新茶，不少卖家卖的所谓新茶其实就是去年的保鲜茶，而有的卖家卖的所谓新茶就是桥木叶子做的茶,2015-4-10 23:36,0,1,0,0,0,0,0
31,y***6,不错的茶叶,2015-4-10 23:14,0,1,0,0,0,0,0
32,z***8,茶叶不成形，碎。包装很好。,2015-4-10 22:51,1,1,0,0,0,0,1
33,拄***的,这个时候买都是凑热闹的，瞎喝着玩，有点茶叶梗，其他还好，采茶兄弟也挺不容易的，有点梗有点吧，&ldquo;吓煞人香&rdquo;，总体挺好,2015-4-10 22:50,0,1,0,0,0,0,1
34,光***6,货真价实，不错，以后还会买的,2015-4-10 22:30,0,1,1,0,0,0,0
35,c***8,味道不错 喝完再来,2015-4-10 22:20,0,1,0,0,0,0,0
36,陶***人,很好的茶叶，不是第一次买了，希望多搞些活动，推荐！,2015-4-10 21:36,0,1,0,0,0,1,0
37,j***水,茶叶昨天收到了，茶叶冲泡上香气扑鼻，喝起来清香，润口。是好茶。,2015-4-10 20:55,0,1,0,0,0,0,0
38,h***3,包装倒是挺高大上的，可惜袋子一拆就失望了，外型不好不说，茶梗超多，碎叶也不少，泡了一下试试，香气很淡，口感一般。,2015-4-10 20:55,1,1,0,0,0,0,1
39,自***猪,包装精美，茶的味道不错，就是叶子大了些。,2015-4-10 20:15,1,1,0,0,0,0,0
40,f***檀,宝贝收到了，是正品西湖龙井，而且还是新茶。很不错,2015-4-11 16:00,0,0,0,0,0,1,0
41,王***0,一如既往的好,2015-4-11 15:14,0,0,0,0,0,0,0
42,a***8,包装不错，性价比高， 服务好,2015-4-11 14:59,1,0,1,0,0,0,0
43,b***9,"好,大大为你点赞",2015-4-11 14:54,0,0,0,0,0,0,0
44,t***8,茶叶包装很好，有防伪码，是正品，茶叶味道也很好。,2015-4-11 14:24,1,1,0,0,0,1,0
45,苦***8,宝贝还不错，价格实惠,2015-4-11 14:21,0,1,1,0,0,0,0
46,d***3,味道比明前茶味道要重的多，比较香,2015-4-11 14:18,0,1,0,0,0,0,0
47,l***1,好,2015-4-11 13:54,0,0,0,0,0,0,0
48,h***p,茶没泡呢 新茶先放放再泡 在这家买茶也不是第一回了先5星 再追评,2015-4-11 13:50,0,0,0,0,0,0,2
49,金***r,新茶，口感很好,2015-4-11 13:40,0,1,0,0,0,1,0
50,u***4,茶叶味道很香.,2015-4-11 13:19,0,1,0,0,0,0,0
51,t***n,喝着口感还不错 值这个价钱 物流给力,2015-4-11 12:53,0,1,1,0,1,0,0
52,r***e,送岳父的,2015-4-11 12:20,0,0,0,0,0,0,2
53,e***o,还没试，不过相信卢正浩的品质。。  包装盒子很好。。,2015-4-11 11:56,1,0,0,0,0,1,0
54,小***的,还不错，香气浓度都够，就是茶叶碎了一点，不是全芽。这个价钱还可以。,2015-4-11 11:49,0,1,1,0,0,0,1
55,k***8,茶叶还不错，西湖龙井的茶标也有。品相也不错，都是整的，没碎的。就是感觉不怎么耐泡，三杯以后就没什么味道了。,2015-4-11 11:29,0,1,0,0,0,1,1
56,v***1,老客户了，每年都来卢正浩买龙井，周围同事也被我带过来了，希望今年的茶香，品相好。,2015-4-11 11:14,0,0,0,0,0,1,2
57,草***鹰,新鲜茶叶，味道很好，清香纯正,2015-4-11 11:12,0,1,0,0,0,1,0
58,c***r,不错 味道一如既往的好,2015-4-11 10:56,0,1,0,0,0,0,0
59,t***2,东西收到了，茶叶很香很不错，以后会经常来的,2015-4-11 10:50,0,1,0,0,0,0,0
60,z***1,不错,2015-4-11 20:57,0,0,0,0,0,0,0
61,x***尼,,2015-4-11 20:21,0,0,0,0,0,0,0
62,c***7,很满意的一次购物经历，好评。,2015-4-11 20:14,0,0,0,0,0,0,0
63,春***梨,不错，口感很好。,2015-4-11 20:10,0,1,0,0,0,0,0
64,淘***馆,很香，确实不一般，包装也很好！！建议购买！！性价比高,2015-4-11 20:06,1,0,1,0,0,0,0
65,我***主,好评,2015-4-11 20:04,0,0,0,0,0,0,0
66,h***6,味道清香，团购的物有所值，但原价就有点贵了,2015-4-11 19:35,0,1,1,0,0,0,0
67,c***t,茶色清澈，味道醇香，一分钱一分货，值。,2015-4-11 19:28,0,1,1,0,0,0,0
68,瑶***妻,包装不错包装不错质量好物流快气味不错，稍微有点碎，不影响口感,2015-4-11 19:20,1,1,0,0,1,0,1
69,h***4,好,2015-4-11 19:13,0,0,0,0,0,0,0
70,z***1,很清香，是新茶,2015-4-11 19:07,0,1,0,0,0,0,0
71,南***9,不错，是新茶，口感很好！,2015-4-11 18:42,0,1,0,0,0,0,0
72,r***5,特意喝了才来评价的，货真价实，口味很正，包装很认真,2015-4-11 17:50,1,1,0,0,0,0,0
73,p***e,味道不错，是新茶，下次还来,2015-4-11 17:32,0,1,0,0,0,0,0
74,n***t,性价比较好，西湖产区，还有原产地标签。,2015-4-11 17:28,0,0,1,0,0,1,0
75,y***1,发的茶叶很新鲜 味道也不错 很满意 发的茶叶很不错 服务很到位 很满意,2015-4-11 17:27,0,1,0,1,0,0,0
76,山***6,色泽嫩翠，茶香浓郁清纯，很好。 服务热情，满意。,2015-4-11 17:04,0,1,0,1,0,0,0
77,z***0,还没喝,2015-4-11 16:47,0,0,0,0,0,0,0
78,八***8,杆挺多，味道还可以。,2015-4-11 16:32,0,1,0,0,0,0,1
79,f***云,叶形较碎，叶茎较多，包装可以。,2015-4-11 16:28,1,1,0,0,0,0,0
80,秦***8,味道、品相都挺好，性价比高,2015-4-12 8:00,0,1,1,0,0,0,0
81,郭***2,很好，聚划算买的,2015-4-12 7:56,0,0,0,0,0,1,0
82,周***1,还没喝，不知道，但是拆袋就一股茶香,2015-4-12 5:57,0,1,0,0,0,0,0
83,风***雪,卢正浩的感觉比西湖的要香，呵呵,2015-4-12 0:03,0,1,0,0,0,1,0
84,我***3,包装好，快递好。,2015-4-11 23:21,1,0,0,0,1,0,0
85,我***1,朋友介绍滴&hellip;&hellip;我也不懂&hellip;&hellip;,2015-4-11 23:14,0,0,0,0,0,0,0
86,追***y,不错 不错,2015-4-11 22:58,0,0,0,0,0,0,0
87,青***0,还可以,2015-4-11 22:57,0,0,0,0,0,0,0
88,x***n,茶香浓郁，但是口感差一点。毕竟一分价钱一分货，总体好评。,2015-4-11 21:52,0,1,1,0,0,0,1
89,s***o,,2015-4-11 21:48,0,0,0,0,0,0,0
90,x***梦,香味浓郁扑鼻，实是好茶,2015-4-11 21:45,0,1,0,0,0,0,0
91,l***8,茶叶不错很香是新茶，值这个价钱，下次再来买。,2015-4-11 21:45,0,1,1,0,0,0,0
92,集***行,买了很多次了，很不错,2015-4-11 21:43,0,0,0,0,0,0,0
93,蓝***6,盒子里就只有茶叶，一点没有大店的正规感，旅游时在杭州买的龙井茶，一起喝喝看看性价比怎么样,2015-4-11 21:39,0,0,0,0,0,1,2
94,b***2,茶很好喝，很不错，我比较喜欢喝茶，以后就定你家了,2015-4-11 21:34,0,1,0,0,0,0,0
95,k***7,茶叶不错，价格合理，包装精美 不错,2015-4-11 21:32,1,1,1,0,0,0,0
96,齐***2,卢骟人：一级茶都是叶梗和大叶片，二级三级，岂不成了树枝和树干？呵呵。你家的猴鬼没少骗人吧？ 一般,2015-4-11 21:31,0,1,0,0,0,1,1
97,六***2,看来还不错，还没喝，一直买你家的茶，必须赞赞！,2015-4-11 21:30,0,0,0,0,0,0,2
98,糖***小,包装精美，茶香馥郁，香气袭人，五星好评！,2015-4-11 21:24,1,1,0,0,0,0,0
99,合***鱼,喜欢，就是想补货时涨价了。,2015-4-11 21:05,0,0,1,0,0,0,1
100,e***w,包装很好，还没有尝尝，很满意的宝贝,2015-4-12 15:05,1,0,0,0,0,0,0
101,清***远,好评如潮潮。！？,2015-4-12 14:41,0,0,0,0,0,0,0
102,往***8,包装不错，还没打开。,2015-4-12 13:56,1,0,0,0,0,0,0
103,g***8,茶叶非常好，很香，发货速度快的，赞一个。,2015-4-12 13:24,0,1,0,1,0,0,0
104,w***9,真心不错,2015-4-12 13:01,0,0,0,0,0,0,0
105,w***9,包装大气，品质好，味道好，物超所值,2015-4-12 12:55,1,1,0,0,0,0,0
106,t***f,很好 以后会继续买,2015-4-12 12:42,0,0,0,0,0,0,0
107,t***m,不错，第二次买了,2015-4-12 12:30,0,0,0,0,0,0,0
108,d***4,喝了两泡，不错的茶！,2015-4-12 12:02,0,0,0,0,0,1,0
109,k***n,总体不错，罐子也漂亮，茶叶味道就这价位来说还是很不错了??希望再接再厉,2015-4-12 11:57,0,1,1,0,0,1,0
110,株***3,茶叶香味不错，但叶形较碎，与想象的西湖龙井有一定差距。,2015-4-12 11:53,0,1,0,0,0,1,1
111,徐***0,大品牌的茶叶还是令人信任，拿到茶叶迫不及待冲了一杯，口感很好，店家包装也很用心，铁罐无破损，还送了封口夹，全五星好评.,2015-4-12 10:55,1,1,0,0,0,1,0
112,雄***9,挺好味很正！ 服务态度很好！,2015-4-12 10:47,0,1,0,1,0,0,0
113,w***0,送人的，以前给老婆买过E包自己喝，支持,2015-4-12 10:39,0,0,0,0,0,0,0
114,t***6,老客户了，这家的茶叶不错，新茶肯定要支持的，全5分！,2015-4-12 10:34,0,1,0,0,0,0,0
115,g***0,新茶香味足。,2015-4-12 10:25,0,1,0,0,0,0,0
116,x***3,两个字好喝，三个字很好喝，四个字非常好喝，绝对的一流,2015-4-12 9:06,0,1,0,0,0,0,0
117,w***5,茶叶碎，茶梗较多。茶香浓郁，入口顺畅，回甘。没有三级的苦涩。生产日期4月6号。聚划算价格购买，还算值。,2015-4-12 8:34,0,1,0,0,0,1,1
118,c***9,好香,2015-4-12 8:15,0,0,0,0,0,0,0
119,于***4,包装不错，茶很清香，不错，值得大家购买,2015-4-12 8:06,1,1,0,0,0,0,0
120,亲***瓜,挺好的，新鲜，就是有些茶叶棒,2015-4-12 20:20,0,1,0,0,0,0,1
121,t***6,茶叶头两泡香味不错，香气比较鲜爽，感觉是新茶。不过遗憾的是茶叶有点碎，影响观感。总体来说，味道比200一斤的好。,2015-4-12 20:18,0,1,1,0,0,0,1
122,陈***8,茶叶很棒，不愧为总理光顾的店铺！好！,2015-4-12 20:06,0,1,0,0,0,0,0
123,w***w,茶叶非常好，味道很正宗，清香舒服！,2015-4-12 19:37,0,1,0,0,0,0,0
124,l***7,打开盒子就闻到清香，泡了一杯，不错,2015-4-12 19:22,0,1,0,0,0,0,0
125,x***2,宝贝收到了，味道不错！价廉物美！！！非常满意！！！,2015-4-12 19:20,0,1,1,0,0,0,0
126,小***桃,聚划算买的，很值，包装到位，生产日期清楚，口味不错。,2015-4-12 19:03,1,1,0,0,0,1,0
127,小***桃,茶叶不错，连续第二年购买，雨前茶比较耐泡。性价比很高。,2015-4-12 19:00,0,1,1,0,0,1,0
128,l***8,商家可以诚信一点，不要把跟产品不匹配的图像挂上去!保装可以，里边的内容太差，搞个聚划算来上当！,2015-4-12 18:52,0,0,0,0,0,1,1
129,n***g,东西收到了，还可以，包装完好，给五星好评，对这个牌子还是比较信赖的，还没喝。,2015-4-12 18:15,1,0,0,0,0,0,0
130,春***3,非常不错,2015-4-12 17:49,0,0,0,0,0,0,0
131,y***6,很一般的茶叶，二两半的茶叶有半两是茶梗，不知道的还以为我泡的树枝，有上当的感觉。价格也不是很便宜，对不起我的人民币。还好我没买多,2015-4-12 17:44,0,1,1,0,0,0,1
132,a***5,不错。。。。。,2015-4-12 17:06,0,0,0,0,0,0,0
133,c***w,好茶，囤货慢慢喝。5分！ 服物很好的5分！,2015-4-12 16:36,0,0,0,1,0,0,0
134,q***9,茶叶味道不错，是新茶，开袋香气扑鼻。性价比还是不错的，很超值，希望店家多搞活动。,2015-4-12 16:26,0,1,1,0,0,1,1
135,r***扬,包装不错，冲泡起来很清淡。总体来说还可以。哈哈,2015-4-12 16:24,1,1,0,0,0,0,0
136,冰***8,很好，很好喝，送礼很实在,2015-4-12 16:15,0,1,0,0,0,0,0
137,7***g,茶叶很香 老板很用心 质量没得说 超出预期,2015-4-12 16:07,0,1,0,0,0,0,0
