no,displayUserNick,rateContent,rateDate,package,quality,price,service,logistics,other,sentiment
0,z***2,梗太多，茶叶碎。别的不多说了,2016-1-5 16:54,0,1,0,0,0,0,1
1,无***y,一分价钱一分货，不是很好。茶梗不是一般的多。口感还行吧。,2015-12-25 14:06,0,1,1,0,0,0,1
2,g***t,鲜口,2015-12-8 12:46,0,1,0,0,0,0,0
3,y***n,东西很好，忘记开发票，老板二话没说直接开好邮寄过来,2015-11-25 14:45,0,1,0,0,0,1,0
4,t***2,朋友说茶挺不错的,2015-11-24 10:50,0,0,0,0,0,0,0
5,s***7,不多说！喝了自己知道，这几年了一直卢正浩，包装也高大上,2015-11-22 19:36,1,0,0,0,0,0,0
6,h***3,　　茶叶还可以。,2015-11-22 0:26,0,0,0,0,0,0,0
7,小***倩,还可以，,2015-11-21 9:14,0,0,0,0,0,0,0
8,z***2,包装比较精美，茶也不错，不过就是双十一活动，快递确实太忙了，这个件到了本地后，居然派件派了三天，而且还是大晚上11点给送的。我的天，多亏老公在家，不然我都不敢开门。卖家还是换个快递吧,2015-11-21 8:36,1,1,1,0,1,0,1
9,撼***7,东西不错,2015-11-17 21:39,0,1,0,0,0,0,0
10,沈***4,老客户了吧，很好的茶，很浓的豆香味很喜欢，下次还来买这款,2015-11-17 17:48,0,1,0,0,0,0,0
11,y***d,双十一首单到货，老顾客了，信任这个牌子。,2015-11-13 15:00,0,0,0,0,0,1,0
12,潇***叶,买了还没喝，喝了再来评价,2015-11-5 12:40,0,0,0,0,0,0,0
13,苹***8,茶叶一直品质好，很喜欢,2015-10-4 18:00,0,1,0,0,0,0,0
14,上***果,这个是第一次买来喝，相信你们家的茶叶品质。上班就可以喝啦,2015-9-3 9:58,0,1,0,0,0,0,0
15,e***9,买了几次了，挺好喝,2015-8-11 23:01,0,1,0,0,0,0,0
16,c***5,很好。买多竟然还有赠品,2015-8-2 9:25,0,0,0,0,0,1,0
17,春***人,东西不错 服务不错,2015-7-15 18:28,0,1,0,1,0,0,0
18,a***g,"卢正浩，是听同事说的，买网茶就买卢正浩的。他喝正山小种，我喝龙井,其实这两种茶都很好。 全五分。",2015-7-14 20:04,0,1,0,0,0,1,0
19,l***6,味道不怎么样,2015-7-12 9:55,0,1,0,0,0,0,1
20,j***3,满分,2016-5-1 15:11,0,0,0,0,0,0,0
21,车***雨,很好的茶叶,2016-4-25 18:29,0,1,0,0,0,0,0
22,小***5,货收到了 包装好 还没喝 但相信卢正浩品牌,2016-4-22 20:51,1,0,0,0,0,1,0
23,l***7,大牌子的买着放心，这两年一直在喝，味道很好，包装结实，茶叶形状整齐，很干净，非常满意。,2016-4-22 20:27,1,1,0,0,0,1,0
24,时***梯,商品的包装还是挺不错的，不过茶现在还没喝。,2016-4-21 19:47,1,0,0,0,0,0,0
25,m***i,不错，性价比高,2016-4-20 11:40,0,0,1,0,0,0,0
26,m***0,老顾客了，每年新茶上来都要买几次，我就喝惯他家茶的味道,2016-4-19 8:36,0,1,0,0,0,0,0
27,克***马,味道不错，物超所值。虽然等了几天，还是很值得。 不错,2016-4-18 12:14,0,0,1,0,0,0,0
28,p***1,口粮茶，一直都喝卢正浩的龙井,2016-4-17 22:34,0,0,0,0,0,1,0
29,月***天,以前买过艺福堂的靠谱茶，然后爱上了龙井的味道。今年想试试别的品牌，可是真让我失望。觉得有一股青草味，也喝不出龙井独特的味道，和我之前买的毛峰味差不多了，都是股青草气息。难道新茶都是这个味？ 快递到了也不打电话或发短信，还是直接网上查询了去拿的。,2016-4-17 16:40,0,1,0,0,1,1,1
30,c***舰,好好的盒子，不知道为什么上面几个字被人为的铲去了，看的人不爽,2016-4-17 14:38,1,0,0,0,0,0,1
31,李***6,豆香扑鼻很好。,2016-4-17 7:31,0,1,0,0,0,0,0
32,禁***骨,味道一般...物流很快,2016-4-16 22:37,0,1,0,0,1,0,1
33,t***3,老叶太多，看起来不像新茶。闻起来还是比较香的，货不值价,2016-4-16 11:40,0,1,1,0,0,0,1
34,t***2,刚收到，没试，回头来在评论,2016-3-4 18:29,0,0,0,0,0,0,0
35,t***2,发货速度快，茶也很好，好评。,2016-2-24 22:18,0,1,0,1,0,0,0
36,t***3,春节物流慢一点可以接受，送的日历很喜欢，下次还会买,2016-2-5 23:41,0,0,0,0,1,1,1
37,h***伤,一如既往的好，一直都在卢正浩家买茶叶，认准卢正浩，棒棒哒~重点是物流也超级快的~,2016-1-13 8:53,0,0,0,0,1,0,0
38,可***亲,茶叶看上去还好，还没喝，就是那个装茶叶的罐子很不舒服，罐子上有些字还故意刮掉，油漆味道也浓，花茶的罐子也是，上面就直接粘了一张，把原来的字盖掉。瞬间觉得太差了。罐子不对你们就重新做嘛，非要在上面改改改，显得茶叶都低级了,2016-1-9 9:20,1,1,0,0,0,0,1
39,z***3,还没喝，包装非常精美，待喝了后再评,2016-1-8 19:32,1,0,0,0,0,0,0
40,x***2,茶叶是好，就是喝了几次发现里面居然有头发，这是卖家给我们的惊喜啊，实在太恶心了...,2016-7-6 10:04,0,1,0,0,0,1,1
41,a***8,茶叶不错，香气很浓，价格实惠。好评,2016-7-3 12:08,0,1,1,0,0,0,0
42,l***2,不错的茶叶，非常好喝！,2016-7-1 15:58,0,1,0,0,0,0,0
43,w***n,茶叶不错，味正，卖家态度好，物流快。,2016-6-29 13:15,0,1,0,1,1,0,0
44,春***茶,很香！很香！味道是我喜欢的！~好喝！.,2016-6-25 8:56,0,1,0,0,0,0,0
45,李***8,一分价钱一分货吧,2016-6-24 10:25,0,0,1,0,0,0,2
46,s***o,卢正浩的老客户了，618活动买特级A包顺带买了这个的，还没尝相信卢正浩这个品牌应该不会错,2016-6-24 9:12,0,0,1,0,0,1,0
47,非***头,很好的茶叶,2016-6-20 9:01,0,1,0,0,0,0,0
48,东***5,最近打开喝了，太差啦，肯定是去年的沉茶。这是我最差的一次购物。,2016-6-16 16:37,0,1,0,0,0,0,1
49,骑***9,刚收到宝贝，还没开始喝。但是物流真的很给力哦,2016-6-16 15:46,0,0,0,0,1,0,0
50,a***c,可以 还没开包 屯着,2016-6-13 22:13,0,0,0,0,0,0,2
51,王***9,茶看着不错，还没喝。 申通快递就是扯，难道一个电话都打不起么，又不是常住地直接丢前台都不打个电话说一声。,2016-6-13 21:31,0,1,0,0,1,0,0
52,k***s,送人什么的也不错，包装上有密封的胶纸，有条码这点不好，因为送人嘛，人家扫一扫就出来具体价格什么的不太好。,2016-5-29 14:38,1,0,0,0,0,0,1
53,l***2,已经多次在这家店买了，味道还是一样的，口粮茶的标准，价格稍贵，三四泡就淡了。,2016-5-27 11:47,0,1,1,0,0,0,1
54,浩***居,这款常规茶还没开泡，品感看牌子一般不会差的，外观看包装很认真，就是上面的日期：2016/05/15/M4 是制作的日期还是采摘的时间捏，这款茶注明是雨前茶，那就应该是4月19前的采摘的喽，标识不是很清楚。,2016-5-23 16:07,1,0,0,0,0,1,1
55,明***华,茶真不错，口感很好！赞一个,2016-5-21 18:13,0,1,0,0,0,0,0
56,h***5,东西收到了，朋友介绍来买的，还不错的,2016-5-21 7:00,0,0,0,0,0,0,0
57,老***1,多次购买卢正浩了，不多说，就是那么好喝，小茶人旗林的服务也超认真负责,2016-5-15 9:20,0,1,0,1,0,0,0
58,s***e,*?゜??*：.?..?.：*?&apos;(*?▽?*)&apos;?*：.?. .?.：*?゜??*,2016-5-13 11:36,0,0,0,0,0,0,0
59,t***1,还行吧，性价比高,2016-5-1 19:31,0,0,1,0,0,0,0
